x,y,u
0.504167,0.533333,1.01243
0.554167,0.558333,1.01286
0.604167,0.583333,1.0133
0.654167,0.608333,1.01374
0.704167,0.633333,1.01417
0.4625,0.575,1.01195
0.5125,0.6,1.01238
0.5625,0.625,1.01282
0.6125,0.65,1.01325
0.420833,0.616667,1.01146
0.470833,0.641667,1.0119
0.520833,0.666667,1.01234
0.379167,0.658333,1.01098
0.429167,0.683333,1.01142
0.3375,0.7,1.0105
0.466667,0.495833,1.01165
0.425,0.5375,1.01117
0.383333,0.579167,1.01068
0.341667,0.620833,1.0102
0.3,0.6625,1.00972
0.441667,0.445833,1.01052
0.4,0.4875,1.01004
0.358333,0.529167,1.00956
0.316667,0.570833,1.00908
0.416667,0.395833,1.0094
0.375,0.4375,1.00892
0.333333,0.479167,1.00844
0.391667,0.345833,1.00828
0.35,0.3875,1.00779
0.366667,0.295833,1.00715
0.0375,0.45,1.00068
0.0375,0.4,1.00068
0.0375,0.35,1.00068
0.0375,0.3,1.00068
0.0375,0.25,1.00068
0.1125,0.4,1.00205
0.1125,0.35,1.00205
0.1125,0.3,1.00205
0.1125,0.25,1.00205
0.1875,0.35,1.00342
0.1875,0.3,1.00342
0.1875,0.25,1.00342
0.2625,0.3,1.00478
0.2625,0.25,1.00478
0.3375,0.25,1.00615
0.270833,0.641667,1.00872
0.2125,0.6,1.00671
0.154167,0.558333,1.0047
0.0958333,0.516667,1.00269
0.0375,0.475,1.00068
0.2875,0.55,1.00807
0.229167,0.508333,1.00607
0.170833,0.466667,1.00406
0.1125,0.425,1.00205
0.304167,0.458333,1.00743
0.245833,0.416667,1.00542
0.1875,0.375,1.00342
0.320833,0.366667,1.00679
0.2625,0.325,1.00478
0.3375,0.275,1.00615
0.025,0.2,1
0.025,0.15,1
0.025,0.1,1
0.025,0.05,1
0.025,-6.93889e-018,1
0.075,0.15,1
0.075,0.1,1
0.075,0.05,1
0.075,-2.77556e-017,1
0.125,0.1,1
0.125,0.05,1
0.125,0,1
0.175,0.05,1
0.175,-2.77556e-017,1
0.225,0,1
0.0291667,0.720833,1.001
0.0291667,0.670833,1.001
0.0291667,0.620833,1.001
0.0291667,0.570833,1.001
0.0291667,0.520833,1.001
0.0875,0.7125,1.00301
0.0875,0.6625,1.00301
0.0875,0.6125,1.00301
0.0875,0.5625,1.00301
0.145833,0.704167,1.00502
0.145833,0.654167,1.00502
0.145833,0.604167,1.00502
0.204167,0.695833,1.00703
0.204167,0.645833,1.00703
0.2625,0.6875,1.00904
0.0625,0.225,1.00068
0.1125,0.175,1.00068
0.1625,0.125,1.00068
0.2125,0.075,1.00068
0.2625,0.025,1.00068
